datetime,close,open,high,low,volume,openinterest,开仓价格,平仓价格开盘价格,平仓价格收盘价格,方向,差价1,差2,盈利1,盈利1,,开仓价格,平仓价格收盘价格,,方向,差价1,盈利1
2023/1/20,4180.4,4169,4187.8,4158.8,17201,-3.01413453,4180.4,4280,4208,1,99.6,27.6,99.6,27.6,,4169,4180.4,,-1,11.4,-11.4
2023/1/30,4208,4280,4282.8,4204.4,55785,9.594539642,4208,4215,4169.6,1,7,-38.4,7,-38.4,,4280,4208,,-1,-72,72
2023/1/31,4169.6,4215,4229,4166,51977,8.2938814,4169.6,4180,4198,-1,10.4,28.4,-10.4,-28.4,,4215,4169.6,,1,-45.4,-45.4
2023/2/1,4198,4180,4200.4,4144.2,61669,-5.805847247,4198,4210,4185.6,-1,12,-12.4,-12,12.4,,4180,4198,,1,18,18
2023/2/2,4185.6,4210,4211.6,4171,57283,6.403890751,4185.6,4165.4,4143.8,1,-20.2,-41.8,-20.2,-41.8,,4210,4185.6,,-1,-24.4,24.4
2023/2/3,4143.8,4165.4,4166,4106.2,64614,6.637529086,4143.8,4110,4086.6,-1,-33.8,-57.2,33.8,57.2,,4165.4,4143.8,,1,-21.6,-21.6
2023/2/6,4086.6,4110,4111,4062.6,59182,8.906281093,4086.6,4100,4096.2,-1,13.4,9.6,-13.4,-9.6,,4110,4086.6,,1,-23.4,-23.4
2023/2/7,4096.2,4100,4107.4,4074.2,50081,5.650118247,4096.2,4103,4076.4,-1,6.8,-19.8,-6.8,19.8,,4100,4096.2,,1,-3.8,-3.8
2023/2/8,4076.4,4103,4117,4071,45696,8.183316147,4076.4,4068,4133.8,-1,-8.4,57.4,8.4,-57.4,,4103,4076.4,,1,-26.6,-26.6
2023/2/9,4133.8,4068,4140,4068,58534,-1.781422127,4133.8,4125.6,4107.6,-1,-8.2,-26.2,8.2,26.2,,4068,4133.8,,1,65.8,65.8
2023/2/10,4107.6,4125.6,4126.8,4089.6,46236,0.682154855,4107.6,4093.8,4139,1,-13.8,31.4,-13.8,31.4,,4125.6,4107.6,,-1,-18,18
